local family body tail mid ilab slab post
INLAND 420 165 75 21 20 16 4
INLAND 420 162 82 21 NA NA 6
INLAND 420 162 82 21 20 16 6
INLAND 420 163 77 21 19 16 6
INLAND 420 164 79 21 20 16 6
INLAND 420 164 80 21 20 16 6
INLAND 420 165 78 21 20 16 6
INLAND 420 165 79 21 18 15 6
INLAND 420 165 81 21 20 16 6
INLAND 420 165 84 21 17 16 6
INLAND 420 166 80 21 19 16 6
INLAND 420 166 82 21 19 16 7
INLAND 420 163 82 21 20 14 6
INLAND 420 167 NA 21 19 15 6
INLAND 420 167 76 NA NA 16 6
INLAND 420 167 79 21 20 15 6
INLAND 437 165 76 21 20 16 6
INLAND 437 165 76 21 20 16 5
INLAND 437 166 85 21 20 16 6
INLAND 437 168 82 21 20 16 5
INLAND 438 159 NA 21 NA NA 6
INLAND 438 166 82 19 20 15 6
INLAND 438 166 83 19 19 NA 6
INLAND 438 167 82 19 20 13 6
INLAND 438 167 82 21 19 10 6
INLAND 438 168 81 19 20 12 6
INLAND 438 168 84 21 19 NA 8
INLAND 438 168 85 21 21 11 6
INLAND 438 168 83 21 20 11 6
INLAND 438 169 81 19 21 12 6
INLAND 438 169 78 21 18 16 7
INLAND 438 170 87 19 21 NA 6
INLAND 440 166 NA 19 21 16 6
INLAND 440 165 78 19 20 10 7
INLAND 440 165 79 19 16 NA 6
INLAND 440 167 72 19 20 11 6
INLAND 440 168 NA 19 20 12 6
INLAND 440 168 78 21 21 10 7
INLAND 440 169 86 19 20 NA 6
INLAND 440 170 92 21 21 13 6
INLAND 494 169 74 19 20 16 6
INLAND 494 164 79 21 20 16 6
INLAND 494 166 78 21 20 16 6
INLAND 494 166 76 21 20 16 6
INLAND 494 168 78 21 20 16 6
INLAND 494 170 82 21 20 16 6
INLAND 494 172 78 21 20 16 6
INLAND 497 157 NA 21 20 16 6
INLAND 497 161 84 21 20 16 7
INLAND 497 164 75 21 19 16 7
INLAND 497 165 81 21 20 16 6
INLAND 497 165 82 21 20 16 6
INLAND 497 165 85 21 20 16 6
INLAND 497 166 72 21 20 16 6
INLAND 497 166 76 19 20 15 6
INLAND 497 168 80 19 20 16 6
INLAND 497 170 81 21 20 16 7
INLAND 507 166 81 19 20 16 6
INLAND 507 163 80 21 20 12 6
INLAND 507 166 81 21 19 16 5
